"countopioid","abandon_cars","graffiti","pothole","street_cleaning","trash","abandon_cars.nn","pothole.nn","trash.nn","graffiti.nn","street_cleaning.nn","pctUnemploy","MedHHInc","pctPoverty","TotalPop","TotalUnit","NEIGH","Longitude","Latitude"
0,0,0,0,0,0,499.890952769049,394.397844633942,397.758683914749,3843.37046034798,497.392918955388,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.6083471836521,39.0738043605964
2,1,0,1,3,44,374.062065931623,409.412353728711,70.293225454013,1202.26601546465,110.586971809299,2.91012104043266,52530,12.8251352047386,3883,1929,"West Price Hill",-84.6103342419903,39.1127331915195
23,1,2,20,1,19,422.488764101154,115.83157940656,87.444415013553,481.250805540561,343.210158539026,3.0840400925212,38165,12.72166538165,2594,1216,"Westwood",-84.6115283248824,39.1360903239585
17,3,0,18,2,36,254.627885501201,180.948153329992,118.731011713197,725.828810711477,217.672209785801,2.4704065877509,32671,16.3149768399382,5829,2879,"Westwood",-84.6119266607239,39.14387600727
1,10,0,8,5,19,136.455390619103,197.516902167065,41.0814710365003,3402.18724327102,196.520078858367,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.605662163472,39.0777865745872
2,0,0,1,1,0,452.797646259349,408.984790782783,292.615806216489,1312.01303004038,316.707467225758,3.09504792332268,48558,11.0023961661342,5008,2334,"West Price Hill",-84.6072505464946,39.1089297378937
11,3,3,10,1,16,182.857095382834,133.936174497379,93.5505234035289,298.14174153471,392.964557370746,3.0840400925212,38165,12.72166538165,2594,1216,"Westwood",-84.6084434492006,39.132286965179
30,2,0,8,7,41,262.772776635958,184.26686825402,98.9740134971752,724.012044985908,121.187095112826,2.4704065877509,32671,16.3149768399382,5829,2879,"Westwood",-84.6088413914038,39.1400726800662
24,6,0,12,5,25,181.858762357033,179.450711661996,108.050500256153,469.02708343125,105.410963957843,2.4704065877509,32671,16.3149768399382,5829,2879,"Westwood",-84.6092394877981,39.1478583809268
0,0,0,0,0,3,525.922295600502,583.526516004049,188.692477190284,2977.59075664233,389.367204087233,4.72602739726027,45568,30.4109589041096,1460,869,"Riverside",-84.6029768532695,39.0817687386003
0,0,0,0,0,0,637.885335889372,487.980969141748,443.164386344388,1353.62620913933,601.199362442454,1.70202269363592,40194,14.9728663048841,4054,1818,"West Price Hill",-84.6041671927192,39.1051261850497
20,6,0,9,0,28,176.896702801354,172.792475595415,86.9705416828724,862.847195676704,420.706897860753,2.91012104043266,52530,12.8251352047386,3883,1929,"West Price Hill",-84.6045642799492,39.1129119727848
11,1,1,4,4,30,385.490911249643,258.576467831,75.3016815520058,351.68236183533,178.625708439306,2.7511961722488,48607,14.9521531100478,1672,785,"West Price Hill",-84.6049615209448,39.1206977468792
26,2,4,18,2,8,318.568947875906,145.182507991611,213.109337161858,309.64656712156,248.05245061372,2.7511961722488,48607,14.9521531100478,1672,785,"Westwood",-84.6053589157292,39.1284835070285
29,0,2,23,1,24,444.606150181119,85.9901770025257,88.4563436554741,464.318207328853,241.746442687586,3.0840400925212,38165,12.72166538165,2594,1216,"Westwood",-84.6057564644718,39.1362692534112
5,0,0,1,2,13,416.54964141145,408.17092613972,111.998475479074,561.884408758402,267.419608382581,2.4704065877509,32671,16.3149768399382,5829,2879,"Westwood",-84.6061541673097,39.1440549859646
12,1,0,2,0,18,335.552891986964,277.222582029447,158.96661186335,447.115066797646,310.480047083252,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.6065520241658,39.1518407045137
2,0,0,0,3,14,375.501691439949,393.544574861104,138.323951465358,3068.8606406803,179.892768668764,0.664451827242525,45714,10.188261351052,903,572,"Riverside",-84.5998950189523,39.0779649918279
27,0,0,18,2,7,374.155376582436,181.224606576841,176.644054783599,1049.84794780231,255.701818328684,1.70202269363592,40194,14.9728663048841,4054,1818,"West Price Hill",-84.6014808748911,39.1091083521468
11,0,0,4,1,21,407.67703746723,278.622038930729,146.323535268643,389.994552961141,247.761616889421,2.91012104043266,52530,12.8251352047386,3883,1929,"West Price Hill",-84.6018777227472,39.1168941576627
25,2,5,39,1,14,291.382750110733,142.83215909066,142.398161218387,289.581358198015,384.354063507646,2.7511961722488,48607,14.9521531100478,1672,785,"West Price Hill",-84.6022747244077,39.1246799494164
