"countopioid","abandon_cars","dead_animals","graffiti","pothole","street_cleaning","trash","NEIGH","Longitude","Latitude"
47,22,14,2,6,13,77,"West Price Hill",-84.5787959954749,39.1176059621366
6,4,0,0,5,4,10,"West Price Hill",-84.5791904662704,39.1253919503271
1,2,0,1,4,0,22,"Westwood",-84.5795850897679,39.1331779246574
34,8,13,2,8,16,16,"Westwood",-84.5799798661966,39.1409638851683
4,0,9,0,0,3,24,"Westwood",-84.5803747954481,39.1487498319009
2,5,7,0,25,2,21,"Westwood",-84.5807698778935,39.1565357649738
0,0,0,0,0,0,0,"Westwood",-84.5811651132489,39.1643216840942
1,0,2,0,5,0,0,"Mount Airy - Westwood",-84.5815605017002,39.1721075895221
0,0,0,0,0,0,0,"Riverside - Sedamsville",-84.5741389147533,39.0826573903614
5,10,2,0,14,5,10,"Sedamsville",-84.5745323831002,39.0904434649667
0,4,0,0,0,0,2,"East Price Hill",-84.5749260036315,39.098229525535
9,3,4,2,6,7,10,"East Price Hill",-84.5753197766564,39.1060155726738
128,23,7,1,10,25,62,"East Price Hill",-84.5757137022338,39.1138016057655
29,42,2,0,2,6,36,"West Price Hill",-84.5761077803208,39.1215876252857
10,0,3,0,9,5,3,"South Fairmount - Westwood",-84.5765020108923,39.1293736308684
34,5,13,1,6,5,50,"Westwood",-84.5768963944428,39.1371596227975
16,4,3,0,4,4,11,"Westwood",-84.5772909305637,39.144945600891
3,0,1,0,3,0,26,"Westwood",-84.5776856195595,39.1527315651906
0,0,0,0,0,0,0,"Westwood",-84.5780804615271,39.1605175157954
2,0,0,0,1,0,0,"Mount Airy - Westwood",-84.5784754563619,39.1683034525707
0,0,0,0,9,0,4,"Mount Airy",-84.5792659052777,39.1838752847725
2,0,8,0,13,1,13,"Mount Airy",-84.5796613594457,39.1916611801755
6,1,3,0,9,0,15,"Mount Airy",-84.5800569667386,39.1994470619024
6,2,1,0,5,4,4,"Riverside - Sedamsville",-84.5714516080835,39.0866389154715
10,0,5,0,10,8,9,"Sedamsville",-84.5718448366696,39.0944250075615
4,0,2,0,4,2,3,"East Price Hill",-84.5722382174037,39.1022110856908
143,3,8,3,18,15,44,"East Price Hill",-84.5726317507058,39.1099971502296
35,27,10,1,6,24,83,"East Price Hill",-84.5730254361634,39.1177832008991
35,1,5,0,1,2,0,"West Price Hill",-84.5734192742207,39.1255692380297
19,6,4,0,10,10,44,"South Fairmount - Westwood",-84.5738132647707,39.1333552611032
3,1,2,0,11,2,64,"Westwood",-84.5742074079259,39.14114127062
1,0,0,0,10,3,16,"Westwood",-84.5746017037967,39.1489272662885
8,2,3,0,10,1,5,"Westwood",-84.5749961522577,39.1567132481931
